path, Rfree
../pdb\human_interaction_partners\Cathepsin_L\3hha 0.15237
../pdb\human_interaction_partners\Cathepsin_L\2xu3 0.15473
../pdb\human_interaction_partners\Cathepsin_L\2xu4 0.16725
../pdb\human_interaction_partners\Cathepsin_L\5maj 0.16999
../pdb\human_interaction_partners\ACE2\6h5w 0.1753
../pdb\human_interaction_partners\Cathepsin_L\2yj2 0.17855
../pdb\3c_like_proteinase\SARS-CoV-2\6xg2 0.1791
../pdb\human_interaction_partners\ACE2\5amb 0.18115
../pdb\human_interaction_partners\Cathepsin_L\2yj8 0.18159
../pdb\human_interaction_partners\Cathepsin_L\5mae 0.18213
../pdb\human_interaction_partners\Cathepsin_L\2yjc 0.18362
../pdb\human_interaction_partners\Cathepsin_L\5i4h 0.1841
../pdb\human_interaction_partners\ACE2\6f9t 0.187
../pdb\human_interaction_partners\Cathepsin_L\2nqd 0.188
../pdb\human_interaction_partners\Cathepsin_L\5f02 0.19057
../pdb\3c_like_proteinase\SARS-CoV-2\7brr 0.1973
../pdb\human_interaction_partners\ACE2\6en5 0.1976
../pdb\human_interaction_partners\Cathepsin_L\5mqy 0.19898
../pdb\human_interaction_partners\Cathepsin_L\2yj9 0.20091
../pdb\human_interaction_partners\ACE2\6h5x 0.2038
../pdb\human_interaction_partners\Cathepsin_L\3kse 0.204
../pdb\human_interaction_partners\ACE2\6f9u 0.2088
../pdb\human_interaction_partners\ACE2\1uze 0.211
../pdb\human_interaction_partners\ACE2\6f9v 0.2121
../pdb\human_interaction_partners\Cathepsin_L\1icf 0.213
../pdb\human_interaction_partners\ACE2\4ca5 0.21344
../pdb\human_interaction_partners\ACE2\4c2o 0.21348
../pdb\human_interaction_partners\Cathepsin_L\6jd0 0.2148
../pdb\human_interaction_partners\ACE2\5ama 0.21764
../pdb\human_interaction_partners\Cathepsin_L\2yjb 0.21779
../pdb\human_interaction_partners\ACE2\4bxk 0.21965
../pdb\human_interaction_partners\ACE2\1o86 0.22
../pdb\human_interaction_partners\ACE2\1o8a 0.22
../pdb\human_interaction_partners\ACE2\2iul 0.22
../pdb\human_interaction_partners\Cathepsin_L\2vhs 0.22
../pdb\human_interaction_partners\ACE2\4ca6 0.22296
../pdb\human_interaction_partners\ACE2\5am8 0.22382
../pdb\human_interaction_partners\Beta-2 microglobulin\7lfz 0.2239
../pdb\human_interaction_partners\ACE2\6en6 0.2263
../pdb\human_interaction_partners\ACE2\1uzf 0.227
../pdb\human_interaction_partners\ACE2\6f9r 0.228
../pdb\human_interaction_partners\ACE2\4ufa 0.22822
../pdb\human_interaction_partners\Cathepsin_L\1cs8 0.2285
../pdb\human_interaction_partners\ACE2\5am9 0.22907
../pdb\human_interaction_partners\Cathepsin_L\1mhw 0.2295
../pdb\human_interaction_partners\Cathepsin_L\4axl 0.2303
../pdb\human_interaction_partners\ACE2\2xy9 0.2318
../pdb\human_interaction_partners\ACE2\6qs1 0.2323
../pdb\3c_like_proteinase\SARS-CoV-2\6yt8 0.2327
../pdb\human_interaction_partners\Cathepsin_L\6ezp 0.23336
../pdb\human_interaction_partners\Cathepsin_L\3bc3 0.234
../pdb\human_interaction_partners\ACE2\4ufb 0.2351
../pdb\human_interaction_partners\ACE2\2iux 0.2369
../pdb\human_interaction_partners\Cathepsin_L\6jd8 0.2369
../pdb\human_interaction_partners\ACE2\3nxq 0.23719
../pdb\human_interaction_partners\ACE2\4c2r 0.23783
../pdb\human_interaction_partners\ACE2\3bkl 0.24
../pdb\human_interaction_partners\ACE2\4aph 0.24026
../pdb\3c_like_proteinase\SARS-CoV-2\7jox 0.2406
../pdb\human_interaction_partners\Cathepsin_L\1cjl 0.241
../pdb\human_interaction_partners\ACE2\5amc 0.24169
../pdb\human_interaction_partners\Cathepsin_L\3iv2 0.24376
../pdb\human_interaction_partners\ACE2\4c2q 0.2451
../pdb\human_interaction_partners\ACE2\4c2p 0.2467
../pdb\human_interaction_partners\Cathepsin_L\3of9 0.2494
../pdb\human_interaction_partners\Cathepsin_L\3h8b 0.25
../pdb\human_interaction_partners\ACE2\3bkk 0.251
../pdb\human_interaction_partners\ACE2\4bzr 0.25182
../pdb\human_interaction_partners\Cathepsin_L\3of8 0.253
../pdb\human_interaction_partners\ACE2\2xyd 0.25589
../pdb\human_interaction_partners\ACE2\4apj 0.25611
../pdb\human_interaction_partners\Cathepsin_L\4axm 0.25716
../pdb\human_interaction_partners\ACE2\2oc2 0.262
../pdb\human_interaction_partners\ACE2\2ydm 0.26261
../pdb\human_interaction_partners\ACE2\4c2n 0.2631
../pdb\human_interaction_partners\ACE2\3l3n 0.266
